Categoria,SubCategoria,Modelo,Cor,Tamanho,Preço Custo Unit,Data Pedido,Pais,Estado,UF,Cidade,Região,Pedidos Qtd,Total Venda,ID_VENDA
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,48,"1912,15",01/07/2017,Brasil,Paraíba,PB,Passagem,Nordeste,2,"6799,98",1
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/07/2017,Brasil,Minas Gerais,MG,Córrego Fundo,Sudeste,1,"3578,27",2
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/07/2017,Brasil,Alagoas,AL,Quebrangulo,Nordeste,2,"7156,54",3
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,38,"1898,09",01/07/2017,Brasil,Ceará,CE,Varjota,Nordeste,1,"3374,99",4
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/08/2017,Brasil,Rio Grande do Norte,RN,Jucurutu,Nordeste,1,"3578,27",5
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/08/2017,Brasil,Minas Gerais,MG,Lambari,Sudeste,1,"3578,27",6
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,44,"1898,09",01/07/2017,Brasil,Rondônia,RO,Buritis,Norte,1,"3374,99",7
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/09/2017,Brasil,São Paulo,SP,Jaborandi,Sudeste,1,"3578,27",8
Bicicletas,Bicicletas de estrada,Road-650,Vermelho,52,"486,71",01/09/2017,Brasil,São Paulo,SP,Morungaba,Sudeste,1,"699,1",9
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/11/2017,Brasil,Mato Grosso,MT,Carlinda,Centro-Oeste,1,"3578,27",10
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/11/2017,Brasil,Minas Gerais,MG,Nova Módica,Sudeste,1,"3578,27",11
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,38,"1912,15",01/07/2017,Brasil,Goiás,GO,Santa Bárbara de Goiás,Centro-Oeste,1,"3399,99",12
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,42,"1912,15",01/07/2017,Brasil,Rio de Janeiro,RJ,Rio das Flores,Sudeste,1,"3399,99",13
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,42,"1912,15",01/07/2017,Brasil,Mato Grosso,MT,Santo Antônio do Leste,Centro-Oeste,1,"3399,99",14
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,42,"1898,09",01/12/2017,Brasil,Rio Grande do Norte,RN,Galinhos,Nordeste,1,"3374,99",15
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/12/2017,Brasil,Pernambuco,PE,Pedra,Nordeste,1,"3578,27",16
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,44,"1912,15",01/07/2017,Brasil,Minas Gerais,MG,Serra dos Aimorés,Sudeste,1,"3399,99",17
Bicicletas,Bicicletas de estrada,Road-650,Vermelho,48,"486,71",01/12/2017,Brasil,Piauí,PI,Jacobina do Piauí,Norte,1,"699,1",18
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,42,"1898,09",01/01/2018,Brasil,Paraíba,PB,Pilões,Nordeste,1,"3374,99",19
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,48,"1912,15",01/07/2017,Brasil,São Paulo,SP,Macaubal,Sudeste,1,"3399,99",20
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/07/2017,Brasil,Tocantins,TO,Caseara,Norte,1,"3578,27",21
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/07/2017,Brasil,Alagoas,AL,Santana do Ipanema,Nordeste,1,"3578,27",22
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/02/2018,Brasil,Paraná,PR,Clevelândia,Sul,1,"3578,27",23
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/07/2017,Brasil,Mato Grosso,MT,Barra do Bugres,Centro-Oeste,1,"3578,27",24
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,38,"1898,09",01/03/2018,Brasil,Amazonas,AM,Iranduba,Norte,1,"3374,99",25
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/03/2018,Brasil,Maranhão,MA,São Benedito do Rio Preto,Nordeste,1,"3578,27",26
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/07/2017,Brasil,Alagoas,AL,Ouro Branco,Nordeste,1,"3578,27",27
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/04/2018,Brasil,Minas Gerais,MG,São Sebastião do Oeste,Sudeste,2,"7156,54",28
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/07/2017,Brasil,Paraná,PR,Boa Ventura de São Roque,Sul,1,"3578,27",29
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,48,"1898,09",01/05/2018,Brasil,Santa Catarina,SC,Imbituba,Sul,1,"3374,99",30
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,48,"1912,15",01/05/2018,Brasil,São Paulo,SP,Capela do Alto,Sudeste,1,"3399,99",31
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/07/2017,Brasil,São Paulo,SP,Avaré,Sudeste,1,"3578,27",32
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/07/2017,Brasil,Pernambuco,PE,Lagoa de Itaenga,Nordeste,1,"3578,27",33
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/05/2018,Brasil,São Paulo,SP,Guapiara,Sudeste,1,"3578,27",34
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,38,"1898,09",01/06/2018,Brasil,São Paulo,SP,Santo André,Sudeste,1,"3374,99",35
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/07/2017,Brasil,Maranhão,MA,Bom Jesus das Selvas,Nordeste,1,"3578,27",36
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/07/2017,Brasil,Tocantins,TO,Pau D'Arco,Norte,1,"3578,27",37
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/07/2017,Brasil,São Paulo,SP,Borá,Sudeste,1,"3578,27",38
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/07/2017,Brasil,Minas Gerais,MG,Ituiutaba,Sudeste,1,"3578,27",39
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/07/2017,Brasil,Minas Gerais,MG,Cedro do Abaeté,Sudeste,1,"3578,27",40
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,42,"1898,09",01/06/2018,Brasil,Paraná,PR,Rio Branco do Ivaí,Sul,1,"3374,99",41
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/06/2018,Brasil,Minas Gerais,MG,Doresópolis,Sudeste,1,"3578,27",42
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/06/2018,Brasil,Rondônia,RO,São Felipe D'Oeste,Norte,1,"3578,27",43
Bicicletas,Bicicletas de montanha,Mountain-200,Preto,46,"1251,98",01/07/2018,Brasil,Mato Grosso do Sul,MS,Rio Verde de Mato Grosso,Centro-Oeste,1,"2049,1",44
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/07/2017,Brasil,Minas Gerais,MG,Pavão,Sudeste,1,"3578,27",45
Bicicletas,Bicicletas de estrada,Road-250,Preto,58,"1554,95",01/07/2018,Brasil,Minas Gerais,MG,Guimarânia,Sudeste,1,"2181,56",46
Bicicletas,Bicicletas de estrada,Road-250,Vermelho,52,"1518,79",01/07/2018,Brasil,Piauí,PI,Guadalupe,Norte,1,"2443,35",47
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/07/2017,Brasil,Minas Gerais,MG,Riacho dos Machados,Sudeste,1,"3578,27",48
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/07/2017,Brasil,Mato Grosso,MT,Rondonópolis,Centro-Oeste,1,"3578,27",49
Bicicletas,Bicicletas de montanha,Mountain-200,Preto,42,"1251,98",01/08/2018,Brasil,Paraná,PR,Planaltina do Paraná,Sul,1,"2049,1",50
Bicicletas,Bicicletas de estrada,Road-250,Preto,52,"1554,95",01/08/2018,Brasil,Maranhão,MA,Morros,Nordeste,1,"2181,56",51
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/07/2017,Brasil,Piauí,PI,Paquetá,Norte,1,"3578,27",52
Bicicletas,Bicicletas de estrada,Road-250,Vermelho,44,"1518,79",01/08/2018,Brasil,Santa Catarina,SC,Jaborá,Sul,1,"2443,35",53
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/07/2017,Brasil,Goiás,GO,Santa Tereza de Goiás,Centro-Oeste,1,"3578,27",54
Bicicletas,Bicicletas de estrada,Road-250,Vermelho,48,"1518,79",01/08/2018,Brasil,São Paulo,SP,Álvaro de Carvalho,Sudeste,1,"2443,35",55
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/07/2017,Brasil,Minas Gerais,MG,José Gonçalves de Minas,Sudeste,1,"3578,27",56
Bicicletas,Bicicletas de estrada,Road-650,Vermelho,58,"486,71",01/08/2018,Brasil,Santa Catarina,SC,Capinzal,Sul,1,"782,99",57
Bicicletas,Bicicletas de montanha,Mountain-200,Prata,46,"1265,62",01/09/2018,Brasil,Piauí,PI,Pedro II,Norte,1,"2071,42",58
Bicicletas,Bicicletas de estrada,Road-650,Vermelho,44,"486,71",01/07/2017,Brasil,São Paulo,SP,Santana da Ponte Pensa,Sudeste,1,"699,1",59
Bicicletas,Bicicletas de estrada,Road-650,Preto,62,"486,71",01/09/2018,Brasil,Goiás,GO,Morro Agudo de Goiás,Centro-Oeste,1,"782,99",60
Bicicletas,Bicicletas de estrada,Road-250,Vermelho,58,"1554,95",01/11/2018,Brasil,Paraná,PR,Salgado Filho,Sul,1,"2181,56",61
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/08/2017,Brasil,Paraíba,PB,Caraúbas,Nordeste,2,"7156,54",62
Bicicletas,Bicicletas de estrada,Road-550-W,Amarela,38,"713,08",01/11/2018,Brasil,Minas Gerais,MG,Naque,Sudeste,1,"1000,44",63
Bicicletas,Bicicletas de estrada,Road-650,Preto,60,"486,71",01/11/2018,Brasil,Paraná,PR,Ivaté,Sul,1,"782,99",64
Bicicletas,Bicicletas de estrada,Road-650,Vermelho,58,"486,71",01/11/2018,Brasil,Pernambuco,PE,Brejinho,Nordeste,1,"782,99",65
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,38,"1898,09",01/08/2017,Brasil,Rio de Janeiro,RJ,Araruama,Sudeste,1,"3374,99",66
Bicicletas,Bicicletas de montanha,Mountain-200,Prata,42,"1265,62",01/12/2018,Brasil,Rio Grande do Norte,RN,Senador Elói de Souza,Nordeste,2,"4142,84",67
Bicicletas,Bicicletas de montanha,Mountain-200,Preto,46,"1251,98",01/12/2018,Brasil,Paraná,PR,Renascença,Sul,1,"2049,1",68
Bicicletas,Bicicletas de montanha,Mountain-200,Prata,46,"1265,62",01/12/2018,Brasil,Pará,PA,Garrafão do Norte,Norte,1,"2071,42",69
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,44,"1898,09",01/08/2017,Brasil,Minas Gerais,MG,Catas Altas,Sudeste,1,"3374,99",70
Bicicletas,Bicicletas de estrada,Road-250,Preto,44,"1554,95",01/12/2018,Brasil,Mato Grosso,MT,Cláudia,Centro-Oeste,1,"2181,56",71
